Target,Method,Coefficient,Std_Error,P_value,CI_Lower,CI_Upper,CF_SD
ln_MIVA,DML (Random Forest),0.17262276647702185,0.08999123135473189,0.055083421749337225,-0.0037600469782526347,0.3490055799322963,0.060642796378672086
ln_MIVA,DML (Lasso),0.4838624914066309,0.13565551489486158,3.613020300279324e-4,0.2179776822127022,0.7497473006005596,0.08464457171978347
ln_MIVA,DML (Ridge),0.25495057388194226,0.09004447482690678,0.004634689898700417,0.07846340322120499,0.4314377445426795,0.016259327694225407
ln_DCM,DML (Random Forest),0.22062042692579337,0.22082709147772264,0.3177636241073152,-0.21220067237054302,0.6534415262221298,0.12279882902817185
ln_DCM,DML (Lasso),0.32073111816318434,0.2973675836217899,0.2807804155840681,-0.2621093457355238,0.9035715820618925,0.0882692291419549
ln_DCM,DML (Ridge),0.2525198750227273,0.17191411024360206,0.14186742830674115,-0.0844317810547327,0.5894715311001874,0.034856092002483796
ln_GFCFM,DML (Random Forest),-0.715782466254372,0.27166939191199624,0.00841978707388158,-1.2482544744018846,-0.18331045810685942,0.22704270968983348
ln_GFCFM,DML (Lasso),-0.8246397248329754,0.2575151241750484,0.0013633669345138877,-1.3293693682160703,-0.31991008144988053,0.0900084618051223
ln_GFCFM,DML (Ridge),-0.5747821548885802,0.20043760304012415,0.004135505741984069,-0.9676398568472235,-0.18192445292993686,0.04505304500842301
ln_MFDI,DML (Random Forest),-0.6431680801697274,0.3067680924900967,0.03602954876389819,-1.244433541450317,-0.04190261888913793,0.30374307556670643
ln_MFDI,DML (Lasso),0.4272323155271342,0.323573429911724,0.18671598469458717,-0.2069716070998448,1.0614362381541131,0.14883638425655427
ln_MFDI,DML (Ridge),-0.08016697781734898,0.21832046525917412,0.7134708540743566,-0.5080750897253302,0.3477411340906323,0.038215173415440014
