Target,Learner,R2_Y,AUC_D,Composite
ln_MIVA,RF,0.8687197497938745,1,0.9343598748969373
ln_MIVA,Lasso,0.6055053514190301,0.999671592775041,0.8025884720970355
ln_MIVA,Ridge,0.5808972877391853,0.9938027802002394,0.7873500339697124
ln_DCM,RF,0.8744769371971589,1,0.9372384685985795
ln_DCM,Lasso,0.6449722666438894,0.9992497514236645,0.8221110090337769
ln_DCM,Ridge,0.6319895859395831,0.9921467223252938,0.8120681541324384
ln_GFCFM,RF,0.9723477110503563,1,0.9861738555251782
ln_GFCFM,Lasso,0.9280577696520795,0.998625283446712,0.9633415265493958
ln_GFCFM,Ridge,0.9213473136693529,0.9897740177151941,0.9555606656922735
ln_MFDI,RF,0.97526243492218,1,0.98763121746109
ln_MFDI,Lasso,0.9199775751640982,0.9985071301247772,0.9592423526444377
ln_MFDI,Ridge,0.9093855352469481,0.9941775792558174,0.9517815572513828
