Variable,Label,Overall_Mean,Overall_SD,Overall_Median,Overall_Min,Overall_Max,Overall_N,Treated_Mean,Treated_SD,Treated_Median,Treated_N,Control_Mean,Control_SD,Control_Median,Control_N,Mean_Difference,Cohens_D,T_Test_P,T_Test_Sig,Wilcox_P,Wilcox_Sig,Var_Test_P
ln_MIVA,Manufacturing Value Added (ln),-2.346,-0.641,-2.243,-4.423,-1.255,248,-2.024,-0.334,-2.04,160,-2.933,-0.65,-2.726,88,0.909,1.931,0,***,0,***,0
ln_DCM,Domestic Credit to Manufacturing (ln),-2.358,-1.037,-2.354,-6.215,-0.172,248,-1.849,-0.776,-2.052,160,-3.284,-0.778,-3.22,88,1.435,1.847,0,***,0,***,0.963
ln_GFCFM,Gross Fixed Capital Formation (ln),8.338,-3.155,7.566,2.639,15.211,248,9.981,-2.639,9.923,160,5.352,-1.246,5.572,88,4.629,2.06,0,***,0,***,0
ln_MFDI,Manufacturing FDI (ln),6.78,-3.015,5.965,1.946,12.373,248,8.37,-2.472,8.223,160,3.891,-1.246,3.749,88,4.479,2.111,0,***,0,***,0
ln_PPP_I,PPP Investment (ln),2.612,-7.24,6.053,-6.908,11.37,248,7.848,-1.918,7.56,160,-6.908,0,-6.908,88,14.756,9.571,0,***,0,***,0
ln_GB_I,Green Bond Investment (ln),-1.937,-7.145,-6.908,-6.908,11.86,248,0.797,-7.623,4.744,160,-6.908,0,-6.908,88,7.705,1.257,0,***,0,***,0
PPP_T,PPP Total,17838.157,-35340.734,1300,0,265100,248,27649.144,-40831.955,7050,160,0,0,0,88,27649.144,0.842,0,***,0,***,0
GB_T,Green Bond Total,9678.376,-27187.79,0,0,180300,248,15001.483,-32679.089,762,160,0,0,0,88,15001.483,0.571,0,***,0,***,0
MIVA,Manufacturing Value Added,0.112,-0.057,0.105,0.011,0.284,248,0.139,-0.048,0.129,160,0.063,-0.036,0.064,88,0.076,1.713,0,***,0,***,0.002
DCM,Domestic Credit to Manufacturing,0.155,-0.172,0.094,0.001,0.841,248,0.215,-0.187,0.128,160,0.047,-0.029,0.039,88,0.168,1.11,0,***,0,***,0
GFCFM,Gross Fixed Capital Formation,195102.93,-640746.047,1931.5,14,4034987,248,302199.222,-777980.943,24958,160,382.398,-374.15,263,88,301816.825,0.483,0,***,0,***,0
MFDI,Manufacturing FDI,20215.371,-43057.782,389.5,7,236400,248,31269.975,-50333.778,3731.5,160,116.091,-198.792,42.5,88,31153.884,0.77,0,***,0,***,0
