"Country","PPP_T_avg","PPP_I_avg","GB_T_avg","GB_I_avg","Total_PPP_GB"
"China",82975,41487.5,113087.5,5903.25,196062.5
"Japan",141175,46762.5,37194.5,18633.125,178369.5
"USA",44225,11700,80737.5,66712.5,124962.5
"United Kingdom",62662.5,24915,14012.875,2562.5,76675.375
"India",66750,25725,3555,1850,70305
"Germany",36625,14650,26563.125,11246.875,63188.125
"France",35500,10650,9285.625,4454.375,44785.625
"Brazil",26287.5,3950,2648.875,16.5,28936.375
"Mexico",24300,10800,1784.25,978,26084.25
"Netherlands",5200,1560,7362.5,2911.375,12562.5
"Kenya",10175,3550,200,40.625,10375
"South Africa",3180,1146.25,3204.375,735.375,6384.375
"Nigeria",4550,1365,75.15,0,4625.15
"Angola",3000,965.875,0,93.75,3000
"Morocco",2380,822.5,47.625,12.5,2427.625
"Senegal",1150,345,11.25,0,1161.25
"Ghana",950,285,93.75,0,1043.75
"Cameroon",1021.25,355,22,0,1043.25
"Rwanda",680.625,265.625,18.75,0,699.375
"Ethiopia",196,58.8,125,0,321
