Target,Method,Coefficient,Std_Error,P_value,CI_Lower,CI_Upper
ln_MIVA,Traditional DiD (log target),0.248540108,0.14586698,0.088403152,-0.037359173,0.534439389
ln_MIVA,DML (Random Forest),12.34937707,7.92049271,0.118956674,-3.174788641,27.87354278
ln_MIVA,DML (Lasso),0.230347033,0.10474188,0.027864594,0.025052947,0.435641118
ln_MIVA,DML (Ridge),0.22916932,0.105639944,0.030056619,0.02211503,0.43622361
ln_DCM,Traditional DiD (log target),0.271329057,0.200366558,0.175684257,-0.121389397,0.664047511
ln_DCM,DML (Random Forest),34.60184667,12.36204461,0.005125492,10.37223923,58.83145412
ln_DCM,DML (Lasso),0.157135436,0.067315932,0.019580131,0.025196209,0.289074664
ln_DCM,DML (Ridge),0.149907042,0.070957618,0.034632631,0.01083011,0.288983973
ln_GFCFM,Traditional DiD (log target),0.383601697,0.494818984,0.438199972,-0.586243511,1.353446905
ln_GFCFM,DML (Random Forest),4.123522349,8.74648373,0.637320022,-13.01958576,21.26663046
ln_GFCFM,DML (Lasso),-0.302536356,0.134050803,0.024015677,-0.56527593,-0.039796782
ln_GFCFM,DML (Ridge),-0.307744486,0.137839122,0.025573006,-0.577909166,-0.037579806
ln_MFDI,Traditional DiD (log target),0.584477645,0.467136545,0.21086433,-0.331109984,1.500065274
ln_MFDI,DML (Random Forest),20.98656488,21.71445646,0.33380458,-21.57376977,63.54689953
ln_MFDI,DML (Lasso),0.169293187,0.185608892,0.361718014,-0.19450024,0.533086615
ln_MFDI,DML (Ridge),0.150940806,0.193201939,0.434650021,-0.227734995,0.529616607
